	記号,一般,*,*,*,*,*
www	名詞,固有名詞,一般,*,*,*,WWW,スリーダブリュー,スリーダブリュー
好き	名詞,接尾,形容動詞語幹,*,*,*,好き,スキ,スキ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
きると	名詞,一般,*,*,*,*,キルト,キルト,キルト
よく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,よい,ヨク,ヨク
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
。	記号,句点,*,*,*,*,。,。,。
結局	名詞,副詞可能,*,*,*,*,結局,ケッキョク,ケッキョク
、	記号,読点,*,*,*,*,、,、,、
恋する	動詞,自立,*,*,サ変・−スル,基本形,恋する,コイスル,コイスル
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
つらく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,つらい,ツラク,ツラク
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
。	記号,句点,*,*,*,*,。,。,。
今回	名詞,副詞可能,*,*,*,*,今回,コンカイ,コンカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
THE STROKES	名詞,固有名詞,一般,*,*,*,THE STROKES,ザストロークス,ザストロークス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
EP	名詞,固有名詞,一般,*,*,*,EP,イーピー,イーピー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
注目	名詞,サ変接続,*,*,*,*,注目,チュウモク,チューモク
す	動詞,自立,*,*,サ変・スル,文語基本形,する,ス,ス
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
5年ぶり	名詞,固有名詞,一般,*,*,*,5年ぶり,ゴネンブリ,ゴネンブリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
新しい	形容詞,自立,*,*,形容詞・イ段,基本形,新しい,アタラシイ,アタラシイ
アーティスト写真	名詞,固有名詞,一般,*,*,*,アーティスト写真,アーティストシャシン,アーティストシャシン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
も	助詞,係助詞,*,*,*,*,も,モ,モ
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
I	名詞,一般,*,*,*,*,*
'	記号,一般,*,*,*,*,*
m	名詞,固有名詞,組織,*,*,*,*
preparing	名詞,一般,*,*,*,*,*
...	記号,一般,*,*,*,*,*
ぱっ	副詞,一般,*,*,*,*,ぱっ,パッ,パッ
きん	名詞,一般,*,*,*,*,きん,キン,キン
ぱっ	副詞,一般,*,*,*,*,ぱっ,パッ,パッ
きん	名詞,固有名詞,人名,名,*,*,きん,キン,キン
(｀_´)ゞ	記号,一般,*,*,*,*,(｀_´)ゞ,カオモジ,カオモジ
ほな	接続詞,*,*,*,*,*,ほな,ホナ,ホナ
かんぱい	名詞,サ変接続,*,*,*,*,かんぱい,カンパイ,カンパイ
朝	名詞,副詞可能,*,*,*,*,朝,アサ,アサ
走っ	動詞,自立,*,*,五段・ラ行,連用タ接続,走る,ハシッ,ハシッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おく	動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
と	助詞,接続助詞,*,*,*,*,と,ト,ト
夜	名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル
ラク	名詞,一般,*,*,*,*,*
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
どっか	名詞,代名詞,一般,*,*,*,どっか,ドッカ,ドッカ
いこ	動詞,自立,*,*,五段・カ行促音便,未然ウ接続,いく,イコ,イコ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
雨	名詞,一般,*,*,*,*,雨,アメ,アメ
かー	名詞,一般,*,*,*,*,カー,カー,カー
サイン	名詞,サ変接続,*,*,*,*,サイン,サイン,サイン
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
ライオン	名詞,一般,*,*,*,*,ライオン,ライオン,ライオン
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
？	記号,一般,*,*,*,*,？,？,？
w	名詞,固有名詞,組織,*,*,*,*
竹山	名詞,固有名詞,人名,姓,*,*,竹山,タケヤマ,タケヤマ
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
センス	名詞,一般,*,*,*,*,センス,センス,センス
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
〜	記号,一般,*,*,*,*,〜,〜,〜
☆	記号,一般,*,*,*,*,☆,☆,☆
あ	感動詞,*,*,*,*,*,あ,ア,ア
こちゃ	名詞,固有名詞,人名,一般,*,*,こ~ちゃ,コチャ,コチャ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ツイート	名詞,固有名詞,一般,*,*,*,tweet,ツイート,ツイート
超	接頭詞,名詞接続,*,*,*,*,超,チョウ,チョー
くそ	接頭詞,形容詞接続,*,*,*,*,くそ,クソ,クソ
リプ	名詞,一般,*,*,*,*,*
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
喋っ	動詞,自立,*,*,五段・ラ行,連用タ接続,喋る,シャベッ,シャベッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
事	名詞,非自立,一般,*,*,*,事,コト,コト
も	助詞,係助詞,*,*,*,*,も,モ,モ
なけれ	助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
認知	名詞,サ変接続,*,*,*,*,認知,ニンチ,ニンチ
も	助詞,係助詞,*,*,*,*,も,モ,モ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
無理	名詞,形容動詞語幹,*,*,*,*,無理,ムリ,ムリ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
！	記号,一般,*,*,*,*,！,！,！
胸	名詞,一般,*,*,*,*,胸,ムネ,ムネ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
脇	名詞,一般,*,*,*,*,脇,ワキ,ワキ
なんて	助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ
美味しい	形容詞,自立,*,*,形容詞・イ段,基本形,美味しい,オイシイ,オイシイ
話題	名詞,一般,*,*,*,*,話題,ワダイ,ワダイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
…	記号,一般,*,*,*,*,…,…,…
活動限界	名詞,固有名詞,一般,*,*,*,活動限界,カツドウゲンカイ,カツドーゲンカイ
軽く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,軽い,カルク,カルク
越え	動詞,自立,*,*,一段,連用形,越える,コエ,コエ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ
←	記号,一般,*,*,*,*,←,←,←
怒ら	動詞,自立,*,*,五段・ラ行,未然形,怒る,オコラ,オコラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
みんと	名詞,固有名詞,人名,一般,*,*,みんと,ミント,ミント
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
責任	名詞,一般,*,*,*,*,責任,セキニン,セキニン
とっ	動詞,自立,*,*,五段・ラ行,連用タ接続,とる,トッ,トッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
もらい	動詞,非自立,*,*,五段・ワ行促音便,連用形,もらう,モライ,モライ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
w	名詞,固有名詞,組織,*,*,*,*
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト
も	助詞,係助詞,*,*,*,*,も,モ,モ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せ	動詞,接尾,*,*,一段,連用形,せる,セ,セ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くん	動詞,非自立,*,*,一段・クレル,未然特殊,くれる,クン,クン
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
し	助詞,接続助詞,*,*,*,*,し,シ,シ
暇	名詞,一般,*,*,*,*,暇,ヒマ,ヒマ
すぎ	名詞,接尾,一般,*,*,*,すぎ,スギ,スギ
💖	記号,一般,*,*,*,*,ハート,ハート,ハート
あい	名詞,一般,*,*,*,*,あい,アイ,アイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
き	動詞,自立,*,*,カ変・クル,連用形,くる,キ,キ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
💖	記号,一般,*,*,*,*,ハート,ハート,ハート
シェリ	名詞,固有名詞,地域,一般,*,*,シェリ,シェリ,シェリ
シェリー	名詞,一般,*,*,*,*,シェリー,シェリー,シェリー
出演	名詞,サ変接続,*,*,*,*,出演,シュツエン,シュツエン
💃	記号,一般,*,*,*,*,ダンサー,ダンサー,ダンサー
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
国	名詞,一般,*,*,*,*,国,クニ,クニ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
再訪	名詞,サ変接続,*,*,*,*,再訪,サイホウ,サイホー
‼	記号,一般,*,*,*,*,二重感嘆符,ニジュウカンタンフ,ニジュウカンタンフ
️	記号,一般,*,*,*,*,*
💖	名詞,一般,*,*,*,*,ハート,ハート,ハート
6	名詞,数,*,*,*,*,*
/	記号,一般,*,*,*,*,*
5	名詞,数,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
日	名詞,一般,*,*,*,*,日,ヒ,ヒ
）	記号,括弧閉,*,*,*,*,）,）,）
あしか	名詞,一般,*,*,*,*,あしか,アシカ,アシカ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
アイドル	名詞,一般,*,*,*,*,アイドル,アイドル,アイドル
コレクション	名詞,一般,*,*,*,*,コレクション,コレクション,コレクション
-	記号,一般,*,*,*,*,*
AIC	名詞,固有名詞,組織,*,*,*,AIC,アイク,アイク
-　	記号,一般,*,*,*,*,*
vol.2	名詞,固有名詞,一般,*,*,*,Volume.2,ボリュームツー,ボリュームツー
💖	名詞,一般,*,*,*,*,ハート,ハート,ハート
2	名詞,数,*,*,*,*,*
会場	名詞,一般,*,*,*,*,会場,カイジョウ,カイジョー
同時	名詞,一般,*,*,*,*,同時,ドウジ,ドージ
開催	名詞,サ変接続,*,*,*,*,開催,カイサイ,カイサイ
・	記号,一般,*,*,*,*,・,・,・
足利	名詞,固有名詞,地域,一般,*,*,足利,アシカガ,アシカガ
ライブハウス	名詞,一般,*,*,*,*,ライブハウス,ライブハウス,ライブハウス
大使館	名詞,一般,*,*,*,*,大使館,タイシカン,タイシカン
・	記号,一般,*,*,*,*,・,・,・
CLUB	名詞,固有名詞,一般,*,*,*,CLUB,クラブ,クラブ
SOUTH	名詞,固有名詞,一般,*,*,*,SOUTH,サウス,サウス
BBC	名詞,固有名詞,一般,*,*,*,BBC,ビリオネアボーイズクラブ,ビリオネアボーイズクラブ
💖	名詞,一般,*,*,*,*,ハート,ハート,ハート
​	記号,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
,	記号,一般,*,*,*,*,*
500円	名詞,固有名詞,一般,*,*,*,500円,ゴヒャクエン,ゴヒャクエン
+	記号,一般,*,*,*,*,*
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
会場	名詞,一般,*,*,*,*,会場,カイジョウ,カイジョー
各部	名詞,一般,*,*,*,*,各部,カクブ,カクブ
1D	名詞,固有名詞,一般,*,*,*,1D,ワンディー,ワンディー
#	記号,一般,*,*,*,*,*
シェリ	名詞,固有名詞,地域,一般,*,*,シェリ,シェリ,シェリ
シェリー	名詞,一般,*,*,*,*,シェリー,シェリー,シェリー
ミル	名詞,一般,*,*,*,*,ミル,ミル,ミル
マルチ	名詞,一般,*,*,*,*,マルチ,マルチ,マルチ
やり	動詞,自立,*,*,五段・ラ行,連用形,やる,ヤリ,ヤリ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
疲労	名詞,サ変接続,*,*,*,*,疲労,ヒロウ,ヒロー
溜まり	動詞,自立,*,*,五段・ラ行,連用形,溜まる,タマリ,タマリ
すぎ	動詞,非自立,*,*,一段,連用形,すぎる,スギ,スギ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ
酸素カプセル	名詞,固有名詞,一般,*,*,*,酸素カプセル,サンソカプセル,サンソカプセル
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くる	動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル
🌏	記号,一般,*,*,*,*,アジア・オーストラリア大陸,アジアオーストラリアタイリク,アジアオーストラリアタイリク
✈	名詞,一般,*,*,*,*,飛行機,ヒコウキ,ヒコウキ
️	記号,一般,*,*,*,*,*
看護師	名詞,固有名詞,一般,*,*,*,看護師,カンゴシ,カンゴシ
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
と	助詞,接続助詞,*,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
元カノ	名詞,固有名詞,一般,*,*,*,元カノ,モトカノ,モトカノ
も	助詞,係助詞,*,*,*,*,も,モ,モ
看護師	名詞,固有名詞,一般,*,*,*,看護師,カンゴシ,カンゴシ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
~	記号,一般,*,*,*,*,*
っていう	助詞,格助詞,連語,*,*,*,っていう,ッテイウ,ッテユウ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
だいたい	副詞,一般,*,*,*,*,だいたい,ダイタイ,ダイタイ
苦手	名詞,形容動詞語幹,*,*,*,*,苦手,ニガテ,ニガテ
(*_*)	記号,一般,*,*,*,*,(*_*),カオモジ,カオモジ
てか	接続詞,*,*,*,*,*,てか,テカ,テカ
看護師	名詞,固有名詞,一般,*,*,*,看護師,カンゴシ,カンゴシ
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
一	名詞,数,*,*,*,*,一,イチ,イチ
括り	動詞,自立,*,*,五段・ラ行,連用形,括る,ククリ,ククリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
扱わ	動詞,自立,*,*,五段・ワ行促音便,未然形,扱う,アツカワ,アツカワ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
本当	名詞,一般,*,*,*,*,本当,ホントウ,ホントー
嫌	名詞,形容動詞語幹,*,*,*,*,嫌,イヤ,イヤ
。	記号,句点,*,*,*,*,。,。,。
えれな	名詞,固有名詞,人名,一般,*,*,えれな,エレナ,エレナ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
明日	名詞,副詞可能,*,*,*,*,明日,アシタ,アシタ
朝	名詞,副詞可能,*,*,*,*,朝,アサ,アサ
５	名詞,数,*,*,*,*,５,ゴ,ゴ
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
５	名詞,数,*,*,*,*,５,ゴ,ゴ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
わんちゃん	名詞,固有名詞,一般,*,*,*,わんちゃん,ワンチャン,ワンチャン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
まえ	動詞,自立,*,*,一段,連用形,まえる,マエ,マエ
集合	名詞,サ変接続,*,*,*,*,集合,シュウゴウ,シューゴー
かかっ	動詞,自立,*,*,五段・ラ行,連用タ接続,かかる,カカッ,カカッ
たった	副詞,助詞類接続,*,*,*,*,たった,タッタ,タッタ
😂	記号,一般,*,*,*,*,嬉し涙,ウレシナミダ,ウレシナミダ
✔	名詞,一般,*,*,*,*,チェックマーク,チェックマーク,チェックマーク
️	記号,一般,*,*,*,*,*
おき	動詞,自立,*,*,一段,未然形,おきる,オキ,オキ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
なぁぁ	形容詞,自立,*,*,形容詞・アウオ段,ガル接続,ない,ナー,ナー
あぁ	感動詞,*,*,*,*,*,あぁ,アァ,アー
🌙	名詞,一般,*,*,*,*,三日月,ミカヅキ,ミカズキ
💭	記号,一般,*,*,*,*,モヤモヤ,モヤモヤ,モヤモヤ
今日	名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
、	記号,読点,*,*,*,*,、,、,、
新宿	名詞,固有名詞,地域,一般,*,*,新宿,シンジュク,シンジュク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
ホテル	名詞,一般,*,*,*,*,ホテル,ホテル,ホテル
で	助詞,格助詞,一般,*,*,*,で,デ,デ
バレー	名詞,一般,*,*,*,*,バレー,バレー,バレー
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク
ナショナルチーム	名詞,固有名詞,一般,*,*,*,ナショナルチーム,ナショナルチーム,ナショナルチーム
と	助詞,格助詞,一般,*,*,*,と,ト,ト
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
、	記号,読点,*,*,*,*,、,、,、
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
違っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,違う,チガッ,チガッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
見え	動詞,自立,*,*,一段,連用形,見える,ミエ,ミエ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
デカスギル	名詞,一般,*,*,*,*,*
。	記号,句点,*,*,*,*,。,。,。
。	記号,句点,*,*,*,*,。,。,。
からあげ	名詞,一般,*,*,*,*,空揚げ,カラアゲ,カラアゲ
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
🍗	記号,一般,*,*,*,*,肉,ニク,ニク
からあげ	名詞,一般,*,*,*,*,空揚げ,カラアゲ,カラアゲ
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
🍗	記号,一般,*,*,*,*,肉,ニク,ニク
からあげ	名詞,一般,*,*,*,*,空揚げ,カラアゲ,カラアゲ
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
🍗	記号,一般,*,*,*,*,肉,ニク,ニク
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
今	接頭詞,名詞接続,*,*,*,*,今,コン,コン
ファスティング	名詞,固有名詞,一般,*,*,*,ファスティング,ファスティング,ファスティング
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
…	記号,一般,*,*,*,*,…,…,…
（´-`）	記号,一般,*,*,*,*,*
食べ	動詞,自立,*,*,一段,未然形,食べる,タベ,タベ
れ	動詞,接尾,*,*,一段,未然形,れる,レ,レ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
、	記号,読点,*,*,*,*,、,、,、
余計	名詞,形容動詞語幹,*,*,*,*,余計,ヨケイ,ヨケイ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ
たく	助動詞,*,*,*,特殊・タイ,連用テ接続,たい,タク,タク
